,Reaction 1,Reaction2
199,HMR_2571,HMR_8410
200,HMR_1049,HMR_8410
201,HMR_8410,HMR_0999
202,HMR_1944,HMR_8410
203,HMR_0991,HMR_8410
204,HMR_1002,HMR_8410
205,HMR_8410,HMR_1373
206,HMR_8410,HMR_1389
207,HMR_8410,HMR_2582
208,HMR_1041,HMR_8410
209,HMR_8410,HMR_1014
210,HMR_0971,HMR_8410
211,HMR_1345,HMR_8410
212,HMR_8410,HMR_1247
213,HMR_8410,HMR_1258
214,HMR_8410,HMR_1026
215,HMR_8410,HMR_1022
216,HMR_8410,HMR_1042
217,HMR_8410,HMR_1334
218,HMR_8410,HMR_1066
219,HMR_8410,HMR_1070
220,HMR_8410,HMR_1039
221,HMR_8410,HMR_1200
222,HMR_8410,HMR_1279
223,HMR_8410,HMR_1058
224,HMR_8410,HMR_1996
225,HMR_8410,HMR_8545
226,HMR_8410,HMR_1074
227,HMR_8410,arachidonates
228,HMR_8410,HMR_2459
229,HMR_8410,HMR_1071
230,HMR_8410,HMR_8554
231,HMR_8410,HMR_1110
232,HMR_0936,HMR_8410
233,HMR_1092,HMR_8410
234,HMR_2467,HMR_8410
235,HMR_8410,HMR_1121
236,HMR_8410,HMR_2456
237,HMR_0985,HMR_8410
238,HMR_1147,HMR_8410
239,HMR_1384,HMR_8410
240,HMR_1146,HMR_8410
241,HMR_8410,HMR_2464
242,HMR_1123,HMR_8410
243,HMR_8410,HMR_2546
244,HMR_8410,HMR_1139
245,HMR_8410,HMR_1388
246,HMR_1379,HMR_8410
247,HMR_8410,HMR_1148
248,HMR_8410,HMR_2563
249,HMR_2470,HMR_8410
250,HMR_1119,HMR_8410
251,HMR_1154,HMR_8410
252,HMR_1152,HMR_8410
253,HMR_1156,HMR_8410
254,HMR_8410,HMR_0992
255,HMR_1398,HMR_8410
256,HMR_8410,HMR_1151
257,HMR_8410,HMR_2558
258,HMR_8410,HMR_2553
259,HMR_8410,HMR_1342
260,HMR_8410,HMR_1007
261,HMR_8410,HMR_1336
262,HMR_1050,HMR_8410
263,HMR_0996,HMR_8410
264,HMR_8410,HMR_1988
265,HMR_8410,HMR_0986
266,HMR_8410,HMR_2458
267,HMR_6394,HMR_8410
268,HMR_2586,HMR_8410
269,HMR_1034,HMR_8410
270,HMR_8410,HMR_1390
271,HMR_0987,HMR_8410
272,HMR_8410,HMR_2560
273,HMR_8410,HMR_2465
274,HMR_8410,HMR_1017
275,HMR_8410,HMR_0997
276,HMR_8410,HMR_1291
277,HMR_1196,HMR_8410
278,HMR_0237,HMR_0781
279,HMR_8410,HMR_2576
280,HMR_8410,HMR_1018
281,HMR_8410,HMR_2466
282,HMR_8410,HMR_0955
283,HMR_8410,HMR_1296
284,HMR_8410,HMR_1329
285,HMR_8410,HMR_2457
286,HMR_1332,HMR_8410
287,HMR_8485,HMR_7573
288,HMR_1088,HMR_8410
289,HMR_8410,HMR_1190
290,HMR_8410,HMR_1394
291,HMR_1308,HMR_8410
292,HMR_8410,HMR_1137
293,HMR_2559,HMR_8410
294,HMR_0969,HMR_8410
295,HMR_8410,HMR_2468
296,HMR_8410,HMR_1333
297,HMR_1025,HMR_8410
298,HMR_1339,HMR_8410
299,HMR_1337,HMR_8410
300,HMR_8410,HMR_2561
301,HMR_8410,HMR_0995
302,HMR_2654,HMR_2170
303,HMR_2164,HMR_2819
304,HMR_2819,HMR_2156
305,HMR_2166,HMR_2819
306,HMR_2819,HMR_2168
307,FAEL184,HMR_2475
308,HMR_2295,HMR_0773
309,HMR_2159,HMR_2819
310,r1253,HMR_2167
311,HMR_2819,HMR_2163
312,HMR_2165,HMR_2819
313,HMR_2819,HMR_2157
314,HMR_2173,HMR_2819
315,HMR_2160,HMR_2819
316,HMR_2179,HMR_2819
317,HMR_2169,HMR_2819
318,HMR_2179,HMR_2654
319,r1253,HMR_2173
320,HMR_2654,HMR_2167
321,HMR_2819,HMR_2153
322,HMR_2296,HMR_0773
323,DESAT18_3,HMR_2599
324,DESAT18_3,RE3227R
325,DESAT18_3,HMR_2912
326,HMR_2819,HMR_2170
327,r1315,HMR_2819
328,RE3234R,DESAT18_3
329,HMR_2785,DESAT18_3
330,HMR_2175,HMR_2819
331,r1253,HMR_2176
332,HMR_2809,DESAT18_3
333,HMR_8410,HMR_1195
334,HMR_2819,HMR_2158
335,r1315,HMR_2654
336,RE3229R,DESAT18_3
337,HMR_2819,HMR_2155
338,HMR_2162,HMR_2819
339,RE3226R,DESAT18_3
340,HMR_2181,HMR_2819
341,HMR_2328,RE3227R
342,HMR_2528,HMR_2599
343,r1253,HMR_2160
344,r1253,HMR_2174
345,HMR_2171,HMR_2819
346,HMR_2324,RE3231R
347,HMR_0773,HMR_0349
348,HMR_0192,HMR_0773
349,r1253,HMR_2153
350,HMR_2654,HMR_2181
351,HMR_2174,HMR_2654
352,RE3243R,HMR_2326
353,r1253,HMR_2181
354,HMR_2328,RE3231R
355,r1253,HMR_2168
356,RE3232R,HMR_2330
357,RE3232R,DESAT18_3
358,RE3226R,HMR_2326
359,HMR_2809,HMR_2330
360,HMR_7973,HMR_8410
361,HMR_2330,RE3231R
362,RE3226R,HMR_2330
363,RE3241R,HMR_2326
364,RE3228R,HMR_2326
365,HMR_4627,HMR_0636
366,r1253,r1313
367,RE3226R,HMR_2324
368,DESAT18_3,HMR_2914
369,HMR_2654,HMR_2155
370,HMR_2150,HMR_2819
371,r1253,HMR_2162
372,DESAT18_3,RE3224R
373,HMR_2154,HMR_2819
374,DESAT18_3,RE3241R
375,r1253,HMR_2155
376,RE3234R,HMR_2324
377,HMR_2654,HMR_2176
378,r1253,r1315
379,RE3229R,HMR_2326
380,RE3244R,DESAT18_3
381,RE3235R,DESAT18_3
382,HMR_2326,HMR_2914
383,HMR_2154,r1253
384,DESAT18_3,RE3236R
385,HMR_2809,HMR_2326
