,Reaction 1,Reaction2
203,HMR_4806,HMR_4418
204,FACOAL1813,HMR_3587
205,HMR_2604,HMR_2153
206,HMR_0636,HMR_4838
207,HMR_2654,HMR_2155
208,HMR_2785,HMR_2493
209,HMR_5136,HMR_0267
210,r1253,HMR_2155
211,r1253,HMR_2159
212,HMR_5137,HMR_0267
213,HMR_5136,HMR_2633
214,HMR_10037,HMR_2282
215,HMR_2315,HMR_2599
216,HMR_5137,HMR_2284
217,HMR_2415,RE3166R
218,HMR_3576,HMR_0349
219,HMR_4699,HMR_0589
220,HMR_3576,HMR_0267
221,HMR_2326,HMR_2599
222,HMR_10037,HMR_0267
223,HMR_5133,FACOAL1813
224,HMR_3663,FACOAL1813
225,HMR_3540,FACOAL1813
226,HMR_10037,HMR_0349
227,RE3231R,HMR_2319
228,HMR_3663,HMR_2282
229,HMR_0267,HMR_2824
230,HMR_2599,HMR_2419
231,HMR_2284,HMR_10037
232,HMR_2633,HMR_3587
233,HMR_2426,HMR_2768
234,HMR_0349,HMR_0748
235,HMR_0249,HMR_2819
236,HMR_3587,HMR_0349
237,HMR_3641,HMR_0267
238,HMR_4577,HMR_4675
239,HMR_3589,HMR_2633
240,HMR_2154,HMR_2819
241,HMR_10036,HMR_0748
242,RE3242R,HMR_2294
243,HMR_2315,RE3231R
244,HMR_2174,HMR_2610
245,HMR_2785,HMR_2423
246,HMR_2415,RE3168R
247,HMR_2654,HMR_2167
248,HMR_3576,HMR_2282
249,r1253,HMR_0249
250,HMR_5145,HMR_0267
251,HMR_2284,HMR_2824
252,HMR_2330,HMR_2599
253,RE3164R,HMR_2426
254,HMR_5141,FACOAL1813
255,HMR_0748,HMR_0397
256,HMR_3576,HMR_2633
257,HMR_3581,HMR_0267
258,RE3167R,HMR_2421
259,HMR_3581,FACOAL1813
260,HMR_2421,RE3166R
261,RE3161R,HMR_2426
262,r1253,HMR_2150
263,HMR_2284,HMR_3540
264,HMR_2654,HMR_2181
265,RE3168R,HMR_2421
266,HMR_2785,HMR_2294
267,HMR_2607,HMR_0192
268,HMR_5149,HMR_2633
269,HMR_2284,HMR_5143
270,HMR_0217,HMR_2630
271,HMR_2165,HMR_2819
272,HMR_3589,HMR_0349
273,HMR_5141,HMR_2284
274,HMR_2428,RE3162R
275,HMR_2150,HMR_2819
276,HMR_2654,HMR_2165
277,r1253,r1317
278,HMR_2785,HMR_2475
279,HMR_2324,HMR_2599
280,HMR_3589,HMR_2282
281,HMR_2307,RE3228R
282,RE3162R,HMR_2426
283,r1253,HMR_2173
284,HMR_2248,HMR_2607
285,HMR_10033,HMR_0349
286,HMR_5136,HMR_2284
287,HMR_2604,HMR_2167
288,HMR_1445,HMR_4630
289,HMR_5148,FACOAL1813
290,HMR_0623,HMR_0622
291,HMR_5143,HMR_2282
292,HMR_2819,HMR_2153
293,HMR_2785,HMR_2421
294,HMR_5132,HMR_2282
295,HMR_2604,HMR_2164
296,HMR_5133,HMR_0267
297,HMR_5145,FACOAL1813
298,FACOAL1813,HMR_5150
299,HMR_2604,HMR_2155
300,HMR_2174,HMR_2819
301,HMR_5133,HMR_2282
302,HMR_5132,HMR_2633
303,HMR_0779,HMR_10036
304,HMR_3542,HMR_2282
305,HMR_2923,HMR_2282
306,HMR_2832,HMR_2282
307,HMR_3592,HMR_2282
308,HMR_3256,HMR_2282
309,HMR_3538,HMR_2282
310,HMR_3560,HMR_2282
311,HMR_2622,HMR_2282
312,HMR_3671,HMR_2282
313,HMR_3539,HMR_2282
314,HMR_2800,HMR_2282
315,HMR_2282,HMR_3231
316,HMR_2282,HMR_2708
317,HMR_2917,HMR_2282
318,HMR_3568,HMR_2282
319,HMR_3546,HMR_2282
320,HMR_3629,HMR_2282
321,HMR_2790,HMR_2282
322,HMR_2282,HMR_3633
323,HMR_2681,HMR_2282
324,HMR_3561,HMR_2282
325,HMR_2282,HMR_3647
326,HMR_3649,HMR_2282
327,HMR_2838,HMR_2282
328,HMR_3630,HMR_2282
329,HMR_2282,HMR_3637
330,HMR_3635,HMR_2282
331,HMR_2921,HMR_2282
332,HMR_2282,HMR_2687
333,HMR_3672,HMR_2282
334,HMR_3676,HMR_2633
335,HMR_2282,ELAIDCPT2
336,r1253,r1315
337,HMR_2604,HMR_2150
338,HMR_3645,HMR_2282
339,HMR_3659,HMR_0267
340,HMR_2788,HMR_0267
341,HMR_3631,HMR_0267
342,HMR_2918,HMR_0267
343,HMR_2282,HMR_3674
344,HMR_2924,HMR_0267
345,HMR_0267,HMR_3655
346,HMR_0267,HMR_2911
347,HMR_3542,HMR_0267
348,HMR_0267,HMR_2903
349,HMR_3670,HMR_0267
350,HMR_3658,HMR_0267
351,HMR_2915,HMR_0267
352,HMR_3541,HMR_0267
353,HMR_3539,HMR_0267
354,HMR_2927,HMR_0267
355,HMR_2899,HMR_0267
356,HMR_2917,HMR_0267
357,HMR_0267,HMR_3669
358,HMR_2921,HMR_0267
359,HMR_2846,HMR_0267
360,HMR_0267,HMR_2708
361,HMR_2834,HMR_0267
362,HMR_0267,HMR_2699
363,HMR_3646,HMR_0267
364,HMR_2832,HMR_0267
365,HMR_3579,HMR_0267
366,RE3243R,HMR_2294
367,HMR_0267,HMR_2814
368,HMR_2816,HMR_0267
369,HMR_3649,HMR_0267
370,HMR_3538,HMR_0267
371,HMR_2681,HMR_0267
372,HMR_3682,HMR_0267
373,HMR_0267,HMR_2798
374,HMR_3585,HMR_2282
375,HMR_2771,HMR_0267
376,HMR_2599,HMR_2516
377,HMR_3549,HMR_0267
378,HMR_0267,HMR_3637
379,HMR_3631,HMR_2282
380,HMR_3645,HMR_0267
381,RE3228R,HMR_2294
382,HMR_2711,HMR_0349
383,HMR_2785,HMR_2328
384,HMR_3588,HMR_0267
385,HMR_3588,FACOAL1813
386,HMR_3581,HMR_2282
387,HMR_2284,HMR_3632
388,HMR_0267,HMR_3679
389,HMR_2526,HMR_2599
390,HMR_2640,HMR_2282
391,HMR_2282,HMR_3679
392,HMR_3643,HMR_2282
393,HMR_2319,HMR_2599
394,HMR_2282,HMR_2824
395,HMR_3667,HMR_0267
396,HMR_5137,FACOAL1813
397,HMR_3662,HMR_0267
398,HMR_0267,HMR_2932
399,HMR_2819,HMR_2155
400,HMR_3627,HMR_2282
401,HMR_3661,HMR_0267
402,HMR_2633,HMR_5139
403,HMR_2733,HMR_0267
404,HMR_2292,HMR_0275
405,HMR_3552,FACOAL1813
406,HMR_2162,HMR_2654
407,HMR_2292,HMR_0319
408,HMR_2762,HMR_0267
409,HMR_0267,HMR_3559
410,HMR_3678,HMR_0267
411,HMR_0267,HMR_2687
412,HMR_3232,HMR_0267
413,HMR_3678,HMR_2282
414,HMR_5145,HMR_2633
415,HMR_0267,HMR_2822
416,HMR_1440,HMR_4630
417,HMR_0773,HMR_10036
418,HMR_3581,HMR_0349
419,RE3112R,HMR_2478
420,HMR_3596,HMR_0267
421,RE3161R,HMR_2428
422,HMR_0345,HMR_2292
423,HMR_2850,HMR_2282
424,HMR_2526,RE3174R
425,r1313,HMR_2819
426,HMR_2491,HMR_2599
427,HMR_3666,HMR_0267
428,HMR_2172,HMR_2604
429,RE3122R,HMR_2489
430,HMR_2736,HMR_0267
431,HMR_3656,HMR_0267
432,HMR_0245,HMR_2292
433,HMR_3576,HMR_2284
434,HMR_2328,RE3234R
435,HMR_3565,HMR_2282
436,RE3163R,HMR_2428
437,HMR_2162,HMR_2610
438,HMR_2282,HMR_2903
439,HMR_2154,HMR_2610
440,HMR_2834,HMR_2282
441,HMR_5132,HMR_2284
442,HMR_2906,HMR_0267
443,HMR_2154,HMR_2654
444,HMR_2785,HMR_2526
445,HMR_3569,HMR_2282
446,HMR_2282,HMR_2796
447,HMR_5145,HMR_2284
448,HMR_3681,HMR_2282
449,HMR_2282,HMR_3640
450,HMR_2604,HMR_2169
451,RE3169R,HMR_2515
452,HMR_0623,HMR_0651
453,HMR_2169,HMR_2819
454,HMR_2522,HMR_2395
455,HMR_2836,HMR_0267
456,HMR_0267,HMR_3550
457,HMR_0357,HMR_2292
458,HMR_2282,HMR_2699
459,HMR_2284,HMR_3538
460,HMR_2284,HMR_3654
461,HMR_2284,HMR_3647
462,HMR_2836,HMR_2284
463,HMR_2284,HMR_2648
464,HMR_2284,HMR_3233
465,HMR_3658,HMR_2284
466,HMR_2915,HMR_2284
467,HMR_2917,HMR_2284
468,HMR_2284,HMR_2848
469,HMR_2874,HMR_2284
470,HMR_2284,HMR_2736
471,HMR_2284,HMR_2903
472,HMR_2284,HMR_3648
473,HMR_2284,HMR_2814
474,HMR_2284,HMR_3653
475,HMR_2284,HMR_3651
476,HMR_2284,HMR_3559
477,HMR_3667,HMR_2284
478,HMR_2284,HMR_3629
479,HMR_2284,HMR_2708
480,HMR_2284,HMR_2830
481,HMR_2792,HMR_2284
482,HMR_2284,HMR_3595
483,HMR_2604,HMR_0188
484,HMR_2284,HMR_3660
485,HMR_2284,HMR_3626
486,HMR_2284,HMR_3256
487,HMR_2844,HMR_2284
488,HMR_3673,HMR_0267
489,HMR_2284,HMR_3655
490,HMR_2908,HMR_0267
491,HMR_2284,HMR_2812
492,HMR_0267,HMR_3547
493,HMR_2284,ELAIDCPT2
494,HMR_2927,HMR_2284
495,HMR_3650,HMR_0267
496,HMR_2284,HMR_3583
497,HMR_2284,HMR_2842
498,HMR_2284,HMR_2657
499,HMR_3232,HMR_2282
500,HMR_2926,HMR_2284
501,HMR_3584,HMR_2284
502,HMR_0405,HMR_0397
503,HMR_3566,HMR_0267
504,HMR_2284,HMR_5150
505,HMR_0267,HMR_3250
506,HMR_2284,HMR_2796
507,HMR_2315,RE3230R
508,HMR_0381,HMR_2292
509,HMR_2284,HMR_3633
510,HMR_3577,HMR_0397
511,HMR_0781,HMR_0397
512,HMR_5130,HMR_2633
513,HMR_2633,HMR_2824
514,HMR_3579,HMR_2282
515,HMR_2604,HMR_2158
516,HMR_3594,HMR_0397
517,HMR_2282,HMR_3644
518,HMR_3580,HMR_0397
519,HMR_2927,HMR_2282
520,HMR_3585,HMR_0349
521,HMR_3544,HMR_0397
522,HMR_3563,HMR_0349
523,HMR_3553,HMR_0349
524,HMR_3568,HMR_0349
525,HMR_2657,HMR_0267
526,HMR_3538,HMR_0349
527,HMR_3561,HMR_0397
528,HMR_0349,HMR_3573
529,HMR_3572,HMR_0349
530,HMR_0349,HMR_3557
531,HMR_3636,HMR_2282
532,HMR_2284,HMR_2920
533,HMR_3549,HMR_0397
534,HMR_0267,HMR_0753
535,HMR_2282,HMR_5139
536,HMR_2282,HMR_3557
537,HMR_3567,HMR_2633
538,HMR_3650,HMR_2284
539,HMR_3549,HMR_0349
540,HMR_0773,HMR_0397
541,HMR_2282,HMR_3655
542,HMR_3555,HMR_0267
543,HMR_3549,HMR_2282
544,HMR_3582,HMR_0349
545,HMR_3570,HMR_0349
546,HMR_0349,HMR_3559
547,HMR_2284,HMR_3539
548,HMR_2610,HMR_2156
549,HMR_3586,HMR_0397
550,HMR_3570,HMR_2282
551,HMR_3561,HMR_0349
552,HMR_2284,HMR_3630
553,HMR_3571,HMR_0397
554,HMR_0773,HMR_0349
555,HMR_3580,HMR_0349
556,HMR_2654,HMR_2169
557,HMR_3636,HMR_0267
558,HMR_2284,HMR_3671
559,RE3119R,HMR_2489
560,HMR_3594,HMR_0349
561,HMR_2282,HMR_2930
562,HMR_0301,HMR_2292
563,r1253,HMR_2156
564,HMR_3567,HMR_0397
565,RE3228R,HMR_2311
566,HMR_0349,HMR_3591
567,HMR_3545,HMR_0397
568,HMR_3593,HMR_2284
569,HMR_3547,HMR_0397
570,HMR_2610,HMR_2153
571,HMR_3588,HMR_2284
572,HMR_0309,HMR_2292
573,HMR_3594,HMR_2282
574,HMR_0267,HMR_3640
575,HMR_5143,HMR_0267
576,HMR_3676,HMR_2282
577,HMR_2633,HMR_3586
578,HMR_2762,HMR_2284
579,HMR_0267,HMR_3595
580,HMR_1457,IPDDIx
581,HMR_3628,HMR_2282
582,HMR_4156,HMR_7673
583,HMR_2282,HMR_3595
584,HMR_3589,HMR_0397
585,HMR_3558,HMR_0349
586,HMR_0267,HMR_3571
587,HMR_2929,HMR_2282
588,HMR_2733,HMR_2282
589,HMR_2284,HMR_2911
590,HMR_0421,HMR_2292
591,RE3227R,HMR_2294
592,HMR_2330,HMR_2914
593,HMR_3627,HMR_0267
594,HMR_1465,r0781
595,HMR_2284,HMR_3596
596,HMR_0753,HMR_0397
597,HMR_0200,HMR_2292
598,HMR_3593,HMR_0267
599,HMR_3539,HMR_0349
600,HMR_2428,HMR_2901
601,HMR_2672,HMR_0267
602,HMR_2284,HMR_2929
603,HMR_2326,HMR_2914
604,HMR_0648,HMR_0589
605,HMR_3593,HMR_0349
606,HMR_3581,HMR_0397
607,HMR_2785,HMR_2319
608,HMR_2178,HMR_2819
609,HMR_2785,HMR_2489
610,HMR_5149,FACOAL1813
611,HMR_3676,HMR_2284
612,HMR_2599,HMR_2430
613,HMR_3558,HMR_2284
614,RE3161R,HMR_2423
615,HMR_3659,HMR_2282
616,HMR_0267,HMR_3231
617,HMR_2428,HMR_2599
618,HMR_2844,HMR_0267
619,DMATTx,HMR_1454
620,HMR_2850,HMR_0267
621,HMR_2816,HMR_2284
622,HMR_3628,HMR_2284
623,HMR_0349,HMR_3595
624,HMR_3544,HMR_0349
625,HMR_0267,HMR_3633
626,HMR_2284,HMR_2611
627,HMR_2282,HMR_3580
628,HMR_3552,HMR_2282
629,HMR_2284,HMR_3663
630,HMR_2328,HMR_2914
631,HMR_3680,HMR_2284
632,HMR_1473,SQLEr
633,HMR_0385,HMR_2292
634,HMR_3555,HMR_2282
635,HMR_2794,HMR_0267
636,HMR_0521,HMR_7588
637,HMR_3628,HMR_0267
638,HMR_2912,HMR_2326
639,HMR_2282,HMR_3669
640,HMR_3559,HMR_0397
641,HMR_2179,HMR_2654
642,HMR_2284,HMR_3659
643,HMR_10038,HMR_2633
644,HMR_7588,HMR_0519
645,HMR_2284,HMR_10038
646,HMR_3680,HMR_2282
647,HMR_3583,HMR_2282
648,HMR_2856,HMR_2284
649,HMR_2654,HMR_2176
650,HMR_0405,HMR_0267
651,HMR_2284,HMR_3543
652,HMR_7588,HMR_0510
653,HMR_0538,HMR_7588
654,HMR_7588,HMR_0529
655,HMR_7588,HMR_0500
656,HMR_2417,HMR_2599
657,HMR_3563,HMR_2282
658,HMR_0487,HMR_7588
659,HMR_2282,HMR_5150
660,HMR_2640,FACOAL1813
661,HMR_3252,HMR_0267
662,HMR_2785,HMR_2324
663,HMR_2912,HMR_2324
664,HMR_7588,HMR_0530
665,RE3235R,HMR_2324
666,HMR_3675,HMR_0267
667,HMR_2625,HMR_0213
668,r1317,HMR_2819
669,HMR_2282,HMR_2618
670,HMR_0393,HMR_2292
671,HMR_0331,HMR_2292
672,HMR_7588,HMR_0522
673,HMR_3578,HMR_0397
674,HMR_3577,FACOAL1813
675,HMR_7588,HMR_0537
676,HMR_3673,HMR_2633
677,HMR_2292,HMR_0389
678,HMR_3548,HMR_2282
679,HMR_2809,HMR_2633
680,HMR_2284,HMR_2809
681,HMR_2292,HMR_0369
682,HMR_0511,HMR_7588
683,HMR_2150,HMR_2610
684,HMR_2762,HMR_2282
685,HMR_7588,HMR_0532
686,HMR_2654,HMR_2158
687,HMR_3648,HMR_2282
688,HMR_3660,HMR_2282
689,HMR_2169,HMR_2610
