,Reaction 1,Reaction2
199,HMR_1573,HMR_3770
200,HMR_0264,HMR_0192
201,r0783,HMR_1512
202,LSTO1r,HMR_1512
203,HMR_0405,HMR_0192
204,DHCR71r,HMR_1495
205,HMR_1451,MEVK1x
206,HMR_3775,HMR_1573
207,HMR_0405,HMR_0213
208,HMR_4718,HMR_8410
209,HMR_1502,LSTO1r
210,HMR_10033,HMR_0192
211,HMR_0192,HMR_0748
212,HMR_1312,HMR_8410
213,HMR_1457,DMATTx
214,HMR_0373,HMR_2295
215,HMR_2295,HMR_0204
216,HMR_0393,HMR_2295
217,HMR_2295,HMR_0297
218,HMR_0341,HMR_2295
219,HMR_2295,HMR_0327
220,HMR_0437,HMR_2295
221,HMR_0309,HMR_2295
222,HMR_2295,HMR_0275
223,HMR_2295,HMR_0323
224,HMR_2295,HMR_0283
225,HMR_0345,HMR_2295
226,HMR_1451,PMEVKx
227,HMR_0781,HMR_0192
228,DPMVDx,HMR_1448
229,HMR_1448,PMEVKx
230,HMR_1445,PMEVKx
231,DMATTx,HMR_1460
232,DPMVDx,HMR_1445
233,MEVK1x,HMR_1445
234,MEVK1x,HMR_1448
235,HMR_0249,HMR_0192
236,HMR_0361,HMR_0213
237,LSTO1r,HMR_1495
238,r0783,HMR_1495
239,HMR_1490,r0783
240,r0780,HMR_1465
241,r1134,HMR_1465
242,C3STDH1r,HMR_1465
243,r0783,HMR_1465
244,HMR_1465,r1135
245,HMR_1465,LSTO1r
246,HMR_1465,r0781
247,LNSTLSr,HMR_1465
248,r1381,HMR_1465
249,HMR_0192,HMR_0773
250,GRTTx,HMR_1460
251,HMR_1457,GRTTx
252,HMR_1493,r0783
253,r1146,HMR_1465
254,HMR_10033,HMR_0213
255,GRTTx,HMR_1454
256,HMR_0377,HMR_0213
257,HMR_0259,HMR_0213
258,HMR_0753,HMR_0213
259,HMR_0249,HMR_0213
260,HMR_0264,HMR_0213
261,HMR_0217,HMR_0192
262,C3STDH1r,HMR_1467
263,HMR_1467,LNSTLSr
264,HMR_1467,r1134
265,HMR_1467,LSTO1r
266,r1380,HMR_1467
267,HMR_1467,r0783
268,HMR_1467,r1135
269,HMR_1467,r1381
270,HMR_0196,HMR_0213
271,HMR_0357,HMR_0213
272,HMR_0365,HMR_0213
273,HMR_0283,HMR_0213
274,HMR_0353,HMR_0213
275,HMR_0319,HMR_0213
276,HMR_0413,HMR_0213
277,HMR_0271,HMR_0213
278,HMR_0188,HMR_0213
279,HMR_0421,HMR_0213
280,HMR_0323,HMR_0213
281,HMR_0331,HMR_0213
282,HMR_0389,HMR_0213
283,HMR_0279,HMR_0213
284,HMR_0313,HMR_0213
285,DESAT18_5,HMR_0213
286,HMR_0213,HMR_0209
287,HMR_0233,HMR_0213
288,HMR_0305,HMR_0213
289,FACOAL1813,HMR_0213
290,HMR_0385,HMR_0213
291,HMR_0748,HMR_0213
292,HMR_0758,HMR_0213
293,HMR_0425,HMR_0213
294,HMR_1490,LSTO1r
295,RE3470M,HMR_8410
296,HMR_0781,HMR_0213
297,HMR_0245,HMR_0213
298,HMR_0301,HMR_0213
299,HMR_0293,HMR_0213
300,HMR_0337,HMR_0213
301,HMR_0417,HMR_0213
302,HMR_0779,HMR_0213
303,HMR_1467,r1146
304,HMR_0433,HMR_0213
305,HMR_0309,HMR_0213
306,HMR_0341,HMR_0213
307,HMR_0327,HMR_0213
308,HMR_0345,HMR_0213
309,HMR_0437,HMR_0213
310,HMR_0200,HMR_0213
311,HMR_0204,HMR_0213
312,HMR_0241,HMR_0213
313,HMR_0255,HMR_0213
314,HMR_0275,HMR_0213
315,HMR_0289,HMR_0213
316,HMR_0297,HMR_0213
317,HMR_0369,HMR_0213
318,HMR_0373,HMR_0213
319,HMR_0381,HMR_0213
320,HMR_0393,HMR_0213
321,HMR_0429,HMR_0213
322,HMR_0773,HMR_0213
323,r1380,HMR_1465
324,HMR_0279,HMR_2295
325,HMR_2295,HMR_0293
326,HMR_2295,HMR_0301
327,HMR_0305,HMR_2295
328,HMR_2295,HMR_0319
329,HMR_0331,HMR_2295
330,HMR_2295,HMR_0381
331,HMR_1467,r0781
332,HMR_0746,HMR_0213
333,HMR_2295,FACOAL1813
334,HMR_0289,HMR_2295
335,HMR_0200,HMR_2295
336,HMR_2295,HMR_0337
337,HMR_8410,HMR_1020
338,HMR_8410,HMR_1292
339,HMR_1467,r0780
340,HMR_0204,HMR_0192
341,HMR_0385,HMR_0192
342,HMR_0200,HMR_0192
343,HMR_0345,HMR_0192
344,HMR_0271,HMR_0192
