,Reaction 1,Reaction2
201,HMR_2417,RE3168R
202,HMR_10036,HMR_2899
203,HMR_1451,HMR_4630
204,HMR_3632,HMR_10036
205,HMR_10036,HMR_3652
206,HMR_3182,HMR_2248
207,RE3224R,HMR_2309
208,RE3106R,HMR_2478
209,HMR_10036,HMR_2690
210,RE3172R,HMR_2515
211,HMR_10036,HMR_3640
212,HMR_2702,HMR_10036
213,HMR_10036,HMR_3629
214,HMR_1451,DPMVDx
215,HMR_2282,HMR_3254
216,HMR_2515,RE3170R
217,HMR_2330,RE3236R
218,HMR_2515,RE3171R
219,HMR_3184,HMR_2248
220,HMR_2599,HMR_2309
221,HMR_3576,HMR_10036
222,HMR_2515,HMR_2785
223,HMR_10036,HMR_3649
224,HMR_3555,HMR_10036
225,HMR_2475,HMR_2862
226,HMR_3577,HMR_10036
227,HMR_10036,HMR_2771
228,HMR_2890,HMR_2602
229,HMR_2633,HMR_5138
230,HMR_2640,HMR_2286
231,HMR_2625,HMR_2253
232,HMR_2633,HMR_5131
233,HMR_10036,HMR_3642
234,HMR_2602,HMR_5138
235,RE3162R,HMR_2423
236,HMR_3587,HMR_10036
237,HMR_0589,HMR_4699
238,RE3227R,HMR_2309
239,RE3163R,HMR_2430
240,HMR_10036,HMR_3581
241,HMR_3654,HMR_10036
242,HMR_10036,HMR_3678
243,HMR_2191,DESAT18_5
244,HMR_10036,HMR_3637
245,HMR_10036,HMR_2699
246,DMATTx,HMR_1454
247,HMR_2311,RE3224R
248,HMR_0192,HMR_3182
249,PETOHMm_hs,HMR_0589
250,HMR_3184,HMR_0192
251,HMR_10036,HMR_10037
252,HMR_0213,C181CPT1
253,GRTTx,HMR_1454
254,ELAIDCPT1,HMR_0267
255,HMR_2633,HMR_5139
256,RE3162R,HMR_2430
257,HMR_7673,HMR_4156
258,HMR_1467,DHCR71r
259,HMR_2736,HMR_10036
260,HMR_4838,HMR_0636
261,HMR_2785,HMR_2526
262,HMR_4630,HMR_1445
263,HMR_2526,RE3173R
264,HMR_10036,HMR_5150
265,HMR_10036,HMR_5139
266,HMR_10036,HMR_2762
267,RE3176R,HMR_2526
268,HMR_1473,LNSTLSr
269,HMR_2633,HMR_5149
270,HMR_2493,HMR_2866
271,HMR_2493,RE3119R
272,HMR_2599,HMR_2493
273,HMR_2493,RE3120R
274,HMR_2482,RE3106R
275,HMR_2482,RE3113R
276,HMR_2482,RE3110R
277,HMR_3538,HMR_10036
278,HMR_2785,HMR_2493
279,HMR_2785,HMR_2309
280,HMR_10036,HMR_2859
281,HMR_10036,HMR_3636
282,HMR_2482,HMR_2599
283,HMR_2633,HMR_5148
284,HMR_10036,HMR_5143
285,HMR_10036,HMR_3564
286,HMR_2482,HMR_2785
287,HMR_2493,RE3122R
288,C181CPT1,HMR_0401
289,FAOXC16C14m,HMR_3122
290,HMR_0623,HMR_2949
291,HMR_2328,RE3226R
292,HMR_0615,HMR_0623
293,HMR_2482,HMR_2862
294,HMR_2328,RE3234R
295,HMR_2602,HMR_5143
296,HMR_0651,HMR_0623
297,HMR_2882,HMR_2430
298,HMR_0599,HMR_0623
299,HMR_0753,HMR_10036
300,HMR_2330,HMR_2785
301,HMR_2742,HMR_2423
302,HMR_2378,FAEL183
303,RE3228R,HMR_2309
304,HMR_2633,HMR_5136
305,HMR_0753,HMR_0750
306,HMR_2423,HMR_2882
307,HMR_2599,HMR_2330
308,HMR_10036,HMR_5149
309,HMR_3125,FAOXC16C14m
310,HMR_2633,HMR_2882
311,HMR_2882,HMR_2426
312,RE3229R,HMR_2311
313,HMR_10036,HMR_5138
314,RE3106R,HMR_2480
315,HMR_10036,HMR_3575
316,RE3113R,HMR_2480
317,HMR_2785,HMR_2480
318,IPDDIx,HMR_1460
319,HMR_3633,HMR_10036
320,HMR_5137,HMR_10036
321,HMR_2785,HMR_2315
322,HMR_0616,HMR_0623
323,HMR_2315,RE3231R
324,HMR_5137,HMR_2633
325,RE3230R,HMR_2315
326,HMR_2315,RE3225R
327,HMR_2862,HMR_2480
328,HMR_5137,HMR_2602
329,HMR_1473,SQLEr
330,RE3110R,HMR_2480
331,HMR_10036,HMR_3590
332,HMR_2742,HMR_2430
333,RE3166R,HMR_2419
334,PCHOLPm_hs,HMR_0589
335,HMR_2419,RE3165R
336,HMR_2599,HMR_2480
337,HMR_0192,HMR_2607
338,HMR_10036,HMR_3665
339,HMR_2890,HMR_2415
340,RE3168R,HMR_2419
341,HMR_2326,RE3236R
342,HMR_2374,FAEL183
343,SQLEr,HMR_1465
344,HMR_2672,HMR_10036
345,HMR_10036,HMR_3593
346,HMR_1470,SQLEr
347,RE3227R,HMR_2311
348,HMR_2890,HMR_2419
349,HMR_2326,HMR_2599
350,HMR_2326,RE3234R
351,HMR_10036,HMR_2651
352,HMR_2648,HMR_10036
353,HMR_2326,RE3226R
354,HMR_2417,HMR_2752
355,HMR_0636,HMR_2949
356,RE3224R,HMR_2307
357,HMR_3552,HMR_10036
358,HMR_2599,HMR_2419
359,HMR_3123,FAOXC16C14m
360,RE3228R,HMR_2307
361,HMR_2417,HMR_2599
362,RE3112R,HMR_2478
363,HMR_2785,HMR_2307
364,HMR_2475,HMR_2599
365,HMR_2311,RE3228R
366,HMR_2633,HMR_3552
367,HMR_2417,HMR_2890
368,HMR_2890,HMR_2633
369,HMR_0192,HMR_3185
370,HMR_3552,HMR_2602
371,HMR_2785,HMR_2516
372,HMR_2516,RE3170R
373,HMR_2599,HMR_2317
374,RE3225R,HMR_2317
375,RE3230R,HMR_2317
376,HMR_2516,RE3169R
377,RE3172R,HMR_2516
378,HMR_2281,DESAT14_9
379,RE3232R,HMR_2317
380,HMR_2599,HMR_2516
381,HMR_2599,HMR_2526
382,HMR_2785,HMR_2317
383,FAOXC180,HMR_3116
384,MEVK1x,HMR_1445
385,HMR_10036,HMR_3578
386,HMR_3183,HMR_0192
387,RE3113R,HMR_2478
388,HMR_3662,HMR_2633
389,HMR_2633,HMR_2874
390,HMR_2633,HMR_2903
391,HMR_2633,HMR_3683
392,HMR_2633,HMR_2856
393,HMR_2633,HMR_2822
394,HMR_2633,HMR_2844
395,HMR_2633,HMR_2929
396,HMR_2633,HMR_3643
397,HMR_2633,HMR_2834
398,HMR_2633,HMR_2816
399,HMR_2633,HMR_2830
400,HMR_2633,HMR_3653
401,HMR_2633,HMR_2920
402,HMR_2633,HMR_2836
403,HMR_2633,HMR_3568
404,HMR_2633,HMR_3539
405,HMR_2633,HMR_2733
406,HMR_2633,HMR_3578
407,HMR_2852,HMR_2633
408,HMR_3680,HMR_2633
409,HMR_2633,HMR_3671
410,HMR_2633,HMR_3630
411,HMR_2633,HMR_3593
412,HMR_3570,HMR_2633
413,HMR_2806,HMR_2633
414,HMR_2633,HMR_3595
415,HMR_2848,HMR_2633
416,HMR_2633,HMR_3641
417,HMR_2633,HMR_2790
418,HMR_2633,HMR_3582
419,HMR_3676,HMR_2633
420,HMR_2633,HMR_3541
421,HMR_2633,HMR_2846
422,HMR_2736,HMR_2633
423,HMR_2633,HMR_3580
424,HMR_3579,HMR_2633
425,HMR_3639,HMR_2633
426,HMR_2633,HMR_3652
427,HMR_2633,HMR_3573
428,HMR_3645,HMR_2633
429,HMR_3538,HMR_2633
430,HMR_2633,HMR_3581
431,HMR_2633,HMR_2842
432,HMR_2633,HMR_2788
433,HMR_2633,HMR_3558
434,HMR_2785,HMR_2305
435,HMR_2526,RE3175R
436,HMR_2785,HMR_2419
437,HMR_2633,HMR_3583
438,HMR_3555,HMR_2633
439,HMR_2633,HMR_3631
440,HMR_2633,HMR_2702
441,HMR_3626,HMR_10036
442,HMR_2633,HMR_2771
443,HMR_2930,HMR_2633
444,HMR_2742,HMR_2633
445,HMR_3638,HMR_2633
446,HMR_2633,HMR_3656
447,HMR_3588,HMR_2633
448,FAOXC180,HMR_3118
449,HMR_2633,HMR_2838
450,HMR_2633,HMR_2693
451,HMR_2633,HMR_2794
452,HMR_10036,HMR_3682
453,HMR_2633,HMR_2824
454,HMR_2633,HMR_3647
455,HMR_2633,HMR_2909
456,HMR_2633,HMR_3571
457,HMR_2633,HMR_3628
458,HMR_2633,HMR_3575
459,HMR_2633,HMR_2752
460,HMR_2633,HMR_2866
461,HMR_3562,HMR_2633
462,HMR_2633,HMR_2917
463,HMR_3650,HMR_2633
464,HMR_3626,HMR_2633
465,HMR_2926,HMR_2633
466,HMR_2633,HMR_2669
467,HMR_2633,HMR_3569
468,HMR_2633,HMR_2792
469,HMR_3559,HMR_2633
470,HMR_2633,HMR_3596
471,HMR_2633,HMR_3678
472,HMR_2599,HMR_2307
473,HMR_2633,HMR_2762
474,HMR_2633,HMR_3592
475,HMR_2633,HMR_2908
476,HMR_3553,HMR_2633
477,HMR_3633,HMR_2633
478,HMR_2633,HMR_3677
479,HMR_2633,HMR_3560
480,HMR_3546,HMR_2633
481,HMR_2633,HMR_3543
482,HMR_2633,HMR_3640
483,HMR_2633,HMR_2924
484,HMR_2633,HMR_2708
485,HMR_0589,HMR_8238
486,HMR_5149,HMR_2602
487,HMR_3672,HMR_2633
488,HMR_2633,HMR_3642
489,HMR_2633,HMR_2796
490,HMR_2633,HMR_2798
491,HMR_2633,HMR_3655
492,HMR_3680,HMR_10036
493,HMR_2633,HMR_2681
494,HMR_2633,HMR_2918
495,HMR_2882,HMR_2602
496,HMR_2423,HMR_2785
497,HMR_2633,HMR_3666
498,HMR_2633,HMR_3658
499,HMR_0651,HMR_0589
500,HMR_3667,HMR_2633
501,HMR_2633,HMR_3629
502,HMR_2633,HMR_3665
503,HMR_3625,HMR_2633
504,HMR_2633,HMR_2651
505,HMR_2633,HMR_3657
506,HMR_2633,HMR_3673
507,HMR_2633,HMR_3548
508,HMR_2633,HMR_10037
509,HMR_2633,HMR_3540
510,HMR_2633,HMR_3682
511,HMR_3681,HMR_2633
512,HMR_2633,HMR_3660
513,HMR_3584,HMR_2633
514,HMR_2633,HMR_2800
515,HMR_2633,HMR_3636
516,HMR_2633,HMR_2872
517,HMR_2648,HMR_2633
518,HMR_2633,HMR_2699
519,HMR_2633,HMR_2832
520,HMR_2633,HMR_3554
521,HMR_3651,HMR_2633
522,HMR_2633,HMR_2921
523,HMR_2633,HMR_3549
524,HMR_3659,HMR_2633
525,HMR_2633,HMR_3661
526,HMR_2633,HMR_3589
527,HMR_3632,HMR_2633
528,HMR_2599,HMR_2319
529,HMR_2633,HMR_3574
530,HMR_2633,HMR_3550
531,HMR_2633,HMR_2927
532,HMR_2633,HMR_2812
533,HMR_3635,HMR_2633
534,HMR_2319,RE3232R
535,HMR_2633,HMR_2809
536,HMR_10036,HMR_3554
537,HMR_2633,HMR_2906
538,HMR_2319,RE3225R
539,HMR_3594,HMR_2633
540,HMR_3668,HMR_2633
541,HMR_2633,HMR_3561
542,HMR_2633,HMR_2690
543,HMR_2633,HMR_2932
544,HMR_3681,HMR_10036
545,HMR_10038,HMR_2602
546,HMR_3566,HMR_2633
547,HMR_3587,HMR_2633
548,HMR_2281,TTDCEAc
549,HMR_2633,HMR_3565
550,HMR_2633,HMR_3542
551,HMR_2633,HMR_3564
552,HMR_2633,HMR_3585
553,HMR_2633,HMR_3679
554,HMR_2633,HMR_3590
555,HMR_2633,HMR_10038
556,HMR_2633,HMR_3551
557,HMR_2633,HMR_3545
558,HMR_2633,HMR_3674
559,HMR_3577,HMR_2633
560,HMR_0589,HMR_2949
561,HMR_2633,HMR_3649
562,HMR_0591,HMR_0623
563,HMR_2633,HMR_2899
564,HMR_3545,HMR_10036
565,HMR_10036,HMR_2866
566,HMR_3551,HMR_2602
567,HMR_2850,HMR_2633
568,HMR_2633,HMR_3646
569,HMR_2599,HMR_2430
570,HMR_3662,HMR_2602
571,HMR_3671,HMR_2602
572,HMR_3640,HMR_2602
573,HMR_2602,HMR_2611
